config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
274,0.05,0.005,0.8,0.18,0.0001,0.4,80,True,0.4076,0.4718,0.4333,2.29
275,0.05,0.005,0.8,0.18,0.0001,0.4,100,False,0.4126,0.4281,0.4188,2.86
276,0.05,0.005,0.8,0.18,0.0001,0.4,100,True,0.5447,0.4532,0.5081,2.87
277,0.05,0.005,0.8,0.18,0.0001,0.5,80,False,0.6767,0.6326,0.6591,2.29
278,0.05,0.005,0.8,0.18,0.0001,0.5,80,True,0.3835,0.4182,0.3974,2.29
279,0.05,0.005,0.8,0.18,0.0001,0.5,100,False,0.5037,0.5154,0.5083,2.30
280,0.05,0.005,0.8,0.18,0.0001,0.5,100,True,0.6232,0.5125,0.5789,2.86
281,0.05,0.005,0.8,0.18,0.0001,0.6,80,False,0.4215,0.3965,0.4115,2.29
282,0.05,0.005,0.8,0.18,0.0001,0.6,80,True,0.2601,0.3618,0.3007,2.29
283,0.05,0.005,0.8,0.18,0.0001,0.6,100,False,0.6000,0.6059,0.6024,2.86
284,0.05,0.005,0.8,0.18,0.0001,0.6,100,True,0.4668,0.3743,0.4298,1.73
285,0.05,0.005,0.8,0.18,0.0001,0.7,80,False,0.5221,0.5040,0.5149,2.29
286,0.05,0.005,0.8,0.18,0.0001,0.7,80,True,0.2840,0.3959,0.3287,2.29
287,0.05,0.005,0.8,0.18,0.0001,0.7,100,False,0.6808,0.6079,0.6517,2.86
288,0.05,0.005,0.8,0.18,0.0001,0.7,100,True,0.3670,0.4879,0.4153,2.86
289,0.05,0.005,0.8,0.18,0.00012,0.4,80,False,0.6185,0.5137,0.5766,2.29
290,0.05,0.005,0.8,0.18,0.00012,0.4,80,True,0.7338,0.6624,0.7053,2.29
291,0.05,0.005,0.8,0.18,0.00012,0.4,100,False,0.6159,0.5456,0.5877,2.86
292,0.05,0.005,0.8,0.18,0.00012,0.4,100,True,0.4832,0.4662,0.4764,2.86
293,0.05,0.005,0.8,0.18,0.00012,0.5,80,False,0.5190,0.4744,0.5011,2.29
294,0.05,0.005,0.8,0.18,0.00012,0.5,80,True,0.4768,0.4079,0.4492,2.29
295,0.05,0.005,0.8,0.18,0.00012,0.5,100,False,0.6504,0.5796,0.6221,2.86
296,0.05,0.005,0.8,0.18,0.00012,0.5,100,True,0.5923,0.6179,0.6025,2.86
297,0.05,0.005,0.8,0.18,0.00012,0.6,80,False,0.3425,0.4732,0.3948,2.29
298,0.05,0.005,0.8,0.18,0.00012,0.6,80,True,0.6062,0.4923,0.5606,2.29
299,0.05,0.005,0.8,0.18,0.00012,0.6,100,False,0.6962,0.6539,0.6793,2.86
300,0.05,0.005,0.8,0.18,0.00012,0.6,100,True,0.5772,0.5138,0.5518,2.86
301,0.05,0.005,0.8,0.18,0.00012,0.7,80,False,0.3664,0.4064,0.3824,2.29
302,0.05,0.005,0.8,0.18,0.00012,0.7,80,True,0.5147,0.5508,0.5291,2.29
303,0.05,0.005,0.8,0.18,0.00012,0.7,100,False,0.5752,0.4949,0.5431,2.30
304,0.05,0.005,0.8,0.18,0.00012,0.7,100,True,0.5890,0.5550,0.5754,2.86
305,0.05,0.005,0.8,0.18,0.00015,0.4,80,False,0.5620,0.5169,0.5440,2.29
306,0.05,0.005,0.8,0.18,0.00015,0.4,80,True,0.4675,0.5019,0.4813,2.29
307,0.05,0.005,0.8,0.18,0.00015,0.4,100,False,0.6043,0.5514,0.5832,2.86
308,0.05,0.005,0.8,0.18,0.00015,0.4,100,True,0.6544,0.6072,0.6355,2.86
309,0.05,0.005,0.8,0.18,0.00015,0.5,80,False,0.6286,0.6130,0.6224,2.29
310,0.05,0.005,0.8,0.18,0.00015,0.5,80,True,0.5704,0.5652,0.5683,2.29
311,0.05,0.005,0.8,0.18,0.00015,0.5,100,False,0.3218,0.4622,0.3780,2.86
312,0.05,0.005,0.8,0.18,0.00015,0.5,100,True,0.6560,0.5976,0.6326,2.86
313,0.05,0.005,0.8,0.18,0.00015,0.6,80,False,0.6087,0.4686,0.5527,2.29
314,0.05,0.005,0.8,0.18,0.00015,0.6,80,True,0.3389,0.3752,0.3535,2.29
315,0.05,0.005,0.8,0.18,0.00015,0.6,100,False,0.6449,0.5697,0.6148,2.86
316,0.05,0.005,0.8,0.18,0.00015,0.6,100,True,0.6405,0.5975,0.6233,2.86
317,0.05,0.005,0.8,0.18,0.00015,0.7,80,False,0.4108,0.4182,0.4137,2.29
318,0.05,0.005,0.8,0.18,0.00015,0.7,80,True,0.4623,0.5383,0.4927,2.29
319,0.05,0.005,0.8,0.18,0.00015,0.7,100,False,0.5632,0.4791,0.5295,2.30
320,0.05,0.005,0.8,0.18,0.00015,0.7,100,True,0.4829,0.4452,0.4679,2.86
321,0.05,0.005,0.8,0.2,8e-05,0.4,80,False,0.3559,0.3955,0.3717,2.29
322,0.05,0.005,0.8,0.2,8e-05,0.4,80,True,0.5971,0.5131,0.5635,2.29
323,0.05,0.005,0.8,0.2,8e-05,0.4,100,False,0.4098,0.4570,0.4287,2.86
324,0.05,0.005,0.8,0.2,8e-05,0.4,100,True,0.5548,0.5428,0.5500,2.86
325,0.05,0.005,0.8,0.2,8e-05,0.5,80,False,0.3623,0.3463,0.3559,2.29
326,0.05,0.005,0.8,0.2,8e-05,0.5,80,True,0.5904,0.5007,0.5545,2.29
327,0.05,0.005,0.8,0.2,8e-05,0.5,100,False,0.6055,0.5222,0.5722,2.86
328,0.05,0.005,0.8,0.2,8e-05,0.5,100,True,0.5886,0.4851,0.5472,2.86
329,0.05,0.005,0.8,0.2,8e-05,0.6,80,False,0.7180,0.6328,0.6839,2.29
330,0.05,0.005,0.8,0.2,8e-05,0.6,80,True,0.3038,0.3475,0.3213,1.73
331,0.05,0.005,0.8,0.2,8e-05,0.6,100,False,0.4176,0.4057,0.4128,2.86
332,0.05,0.005,0.8,0.2,8e-05,0.6,100,True,0.6002,0.5275,0.5711,2.87
333,0.05,0.005,0.8,0.2,8e-05,0.7,80,False,0.3232,0.4587,0.3774,2.29
334,0.05,0.005,0.8,0.2,8e-05,0.7,80,True,0.4800,0.5081,0.4912,2.29
335,0.05,0.005,0.8,0.2,8e-05,0.7,100,False,0.6561,0.5451,0.6117,2.86
336,0.05,0.005,0.8,0.2,8e-05,0.7,100,True,0.6263,0.5381,0.5910,2.87
337,0.05,0.005,0.8,0.2,0.0001,0.4,80,False,0.6688,0.5854,0.6354,2.29
338,0.05,0.005,0.8,0.2,0.0001,0.4,80,True,0.5388,0.5668,0.5500,2.29
339,0.05,0.005,0.8,0.2,0.0001,0.4,100,False,0.5758,0.4928,0.5426,2.86
340,0.05,0.005,0.8,0.2,0.0001,0.4,100,True,0.6034,0.5900,0.5981,2.86
341,0.05,0.005,0.8,0.2,0.0001,0.5,80,False,0.6064,0.5519,0.5846,2.29
342,0.05,0.005,0.8,0.2,0.0001,0.5,80,True,0.5136,0.5352,0.5222,2.29
343,0.05,0.005,0.8,0.2,0.0001,0.5,100,False,0.6117,0.5544,0.5888,2.86
344,0.05,0.005,0.8,0.2,0.0001,0.5,100,True,0.6427,0.5081,0.5889,2.30
345,0.05,0.005,0.8,0.2,0.0001,0.6,80,False,0.6388,0.5413,0.5998,2.29
346,0.05,0.005,0.8,0.2,0.0001,0.6,80,True,0.6293,0.5969,0.6164,2.29
347,0.05,0.005,0.8,0.2,0.0001,0.6,100,False,0.5778,0.5323,0.5596,2.86
