config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
56,0.05,0.005,0.8,0.08,0.00015,0.5,100,True,0.4305,0.4501,0.4383,2.86
57,0.05,0.005,0.8,0.08,0.00015,0.6,80,False,0.6185,0.5408,0.5874,2.29
58,0.05,0.005,0.8,0.08,0.00015,0.6,80,True,0.6719,0.6350,0.6571,2.29
59,0.05,0.005,0.8,0.08,0.00015,0.6,100,False,0.6686,0.5346,0.6150,2.30
60,0.05,0.005,0.8,0.08,0.00015,0.6,100,True,0.4846,0.5745,0.5206,2.86
61,0.05,0.005,0.8,0.08,0.00015,0.7,80,False,0.6302,0.5430,0.5953,2.29
62,0.05,0.005,0.8,0.08,0.00015,0.7,80,True,0.5775,0.5449,0.5645,2.29
63,0.05,0.005,0.8,0.08,0.00015,0.7,100,False,0.7150,0.6012,0.6695,2.86
64,0.05,0.005,0.8,0.08,0.00015,0.7,100,True,0.5518,0.5314,0.5436,2.86
65,0.05,0.005,0.8,0.1,8e-05,0.4,80,False,0.5945,0.5175,0.5637,2.29
66,0.05,0.005,0.8,0.1,8e-05,0.4,80,True,0.4687,0.4053,0.4433,2.29
67,0.05,0.005,0.8,0.1,8e-05,0.4,100,False,0.6163,0.6036,0.6112,2.86
68,0.05,0.005,0.8,0.1,8e-05,0.4,100,True,0.6733,0.6193,0.6517,2.86
69,0.05,0.005,0.8,0.1,8e-05,0.5,80,False,0.3966,0.3634,0.3833,2.29
70,0.05,0.005,0.8,0.1,8e-05,0.5,80,True,0.5622,0.5110,0.5417,2.29
71,0.05,0.005,0.8,0.1,8e-05,0.5,100,False,0.5867,0.5756,0.5823,2.86
72,0.05,0.005,0.8,0.1,8e-05,0.5,100,True,0.4320,0.4169,0.4260,2.30
73,0.05,0.005,0.8,0.1,8e-05,0.6,80,False,0.5373,0.4841,0.5160,2.29
74,0.05,0.005,0.8,0.1,8e-05,0.6,80,True,0.5979,0.5712,0.5872,2.29
75,0.05,0.005,0.8,0.1,8e-05,0.6,100,False,0.6780,0.5718,0.6355,2.86
76,0.05,0.005,0.8,0.1,8e-05,0.6,100,True,0.5089,0.5401,0.5214,2.87
77,0.05,0.005,0.8,0.1,8e-05,0.7,80,False,0.7232,0.5928,0.6710,2.29
78,0.05,0.005,0.8,0.1,8e-05,0.7,80,True,0.5884,0.5618,0.5778,2.29
79,0.05,0.005,0.8,0.1,8e-05,0.7,100,False,0.6170,0.4975,0.5692,2.86
80,0.05,0.005,0.8,0.1,8e-05,0.7,100,True,0.5841,0.5689,0.5780,2.86
81,0.05,0.005,0.8,0.1,0.0001,0.4,80,False,0.6893,0.5833,0.6469,2.29
82,0.05,0.005,0.8,0.1,0.0001,0.4,80,True,0.6879,0.6053,0.6549,2.29
83,0.05,0.005,0.8,0.1,0.0001,0.4,100,False,0.6433,0.6099,0.6299,2.86
84,0.05,0.005,0.8,0.1,0.0001,0.4,100,True,0.6441,0.5800,0.6185,2.86
85,0.05,0.005,0.8,0.1,0.0001,0.5,80,False,0.5389,0.4498,0.5033,2.29
86,0.05,0.005,0.8,0.1,0.0001,0.5,80,True,0.5364,0.4352,0.4959,2.29
87,0.05,0.005,0.8,0.1,0.0001,0.5,100,False,0.5545,0.5269,0.5435,2.86
88,0.05,0.005,0.8,0.1,0.0001,0.5,100,True,0.6192,0.5767,0.6022,2.86
89,0.05,0.005,0.8,0.1,0.0001,0.6,80,False,0.5687,0.5554,0.5634,2.29
90,0.05,0.005,0.8,0.1,0.0001,0.6,80,True,0.2369,0.2847,0.2560,2.29
91,0.05,0.005,0.8,0.1,0.0001,0.6,100,False,0.3562,0.4250,0.3837,2.86
92,0.05,0.005,0.8,0.1,0.0001,0.6,100,True,0.6346,0.5994,0.6206,2.86
93,0.05,0.005,0.8,0.1,0.0001,0.7,80,False,0.7068,0.6583,0.6874,2.29
94,0.05,0.005,0.8,0.1,0.0001,0.7,80,True,0.4185,0.3744,0.4009,1.73
95,0.05,0.005,0.8,0.1,0.0001,0.7,100,False,0.5968,0.5055,0.5603,2.30
96,0.05,0.005,0.8,0.1,0.0001,0.7,100,True,0.5215,0.4919,0.5097,2.87
97,0.05,0.005,0.8,0.1,0.00012,0.4,80,False,0.5604,0.5472,0.5551,2.29
98,0.05,0.005,0.8,0.1,0.00012,0.4,80,True,0.5677,0.5723,0.5696,2.29
99,0.05,0.005,0.8,0.1,0.00012,0.4,100,False,0.5379,0.4929,0.5199,2.86
100,0.05,0.005,0.8,0.1,0.00012,0.4,100,True,0.5551,0.5517,0.5538,2.86
101,0.05,0.005,0.8,0.1,0.00012,0.5,80,False,0.5829,0.5806,0.5820,2.29
102,0.05,0.005,0.8,0.1,0.00012,0.5,80,True,0.7383,0.6500,0.7030,2.29
103,0.05,0.005,0.8,0.1,0.00012,0.5,100,False,0.5907,0.5694,0.5822,2.86
104,0.05,0.005,0.8,0.1,0.00012,0.5,100,True,0.6128,0.5728,0.5968,2.86
105,0.05,0.005,0.8,0.1,0.00012,0.6,80,False,0.6149,0.5204,0.5771,2.29
106,0.05,0.005,0.8,0.1,0.00012,0.6,80,True,0.4963,0.4692,0.4855,2.29
107,0.05,0.005,0.8,0.1,0.00012,0.6,100,False,0.5720,0.5115,0.5478,2.86
108,0.05,0.005,0.8,0.1,0.00012,0.6,100,True,0.6508,0.5918,0.6272,2.30
109,0.05,0.005,0.8,0.1,0.00012,0.7,80,False,0.3960,0.4505,0.4178,2.29
110,0.05,0.005,0.8,0.1,0.00012,0.7,80,True,0.6351,0.5688,0.6086,2.29
111,0.05,0.005,0.8,0.1,0.00012,0.7,100,False,0.4639,0.4900,0.4744,2.86
112,0.05,0.005,0.8,0.1,0.00012,0.7,100,True,0.6610,0.5438,0.6142,2.30
113,0.05,0.005,0.8,0.1,0.00015,0.4,80,False,0.6249,0.6004,0.6151,2.29
114,0.05,0.005,0.8,0.1,0.00015,0.4,80,True,0.6896,0.5803,0.6459,2.29
115,0.05,0.005,0.8,0.1,0.00015,0.4,100,False,0.5907,0.5817,0.5871,2.86
116,0.05,0.005,0.8,0.1,0.00015,0.4,100,True,0.4881,0.5170,0.4997,2.86
117,0.05,0.005,0.8,0.1,0.00015,0.5,80,False,0.4968,0.4878,0.4932,2.29
118,0.05,0.005,0.8,0.1,0.00015,0.5,80,True,0.4271,0.4297,0.4282,2.29
119,0.05,0.005,0.8,0.1,0.00015,0.5,100,False,0.6803,0.6255,0.6584,2.86
120,0.05,0.005,0.8,0.1,0.00015,0.5,100,True,0.6867,0.5868,0.6467,2.86
121,0.05,0.005,0.8,0.1,0.00015,0.6,80,False,0.6827,0.6204,0.6578,2.29
122,0.05,0.005,0.8,0.1,0.00015,0.6,80,True,0.5897,0.5141,0.5594,2.29
123,0.05,0.005,0.8,0.1,0.00015,0.6,100,False,0.6411,0.5650,0.6107,2.86
124,0.05,0.005,0.8,0.1,0.00015,0.6,100,True,0.6677,0.5214,0.6092,2.86
125,0.05,0.005,0.8,0.1,0.00015,0.7,80,False,0.5570,0.4953,0.5323,2.29
126,0.05,0.005,0.8,0.1,0.00015,0.7,80,True,0.5492,0.4754,0.5197,2.29
127,0.05,0.005,0.8,0.1,0.00015,0.7,100,False,0.5523,0.4858,0.5257,2.87
128,0.05,0.005,0.8,0.1,0.00015,0.7,100,True,0.5404,0.5631,0.5495,2.86
129,0.05,0.005,0.8,0.12,8e-05,0.4,80,False,0.6202,0.5884,0.6075,2.29
130,0.05,0.005,0.8,0.12,8e-05,0.4,80,True,0.6690,0.5798,0.6333,2.29
131,0.05,0.005,0.8,0.12,8e-05,0.4,100,False,0.5526,0.5315,0.5441,2.86
132,0.05,0.005,0.8,0.12,8e-05,0.4,100,True,0.5906,0.5163,0.5609,2.86
133,0.05,0.005,0.8,0.12,8e-05,0.5,80,False,0.5983,0.5836,0.5924,2.29
134,0.05,0.005,0.8,0.12,8e-05,0.5,80,True,0.7060,0.5850,0.6576,2.29
135,0.05,0.005,0.8,0.12,8e-05,0.5,100,False,0.5493,0.5017,0.5303,2.86
136,0.05,0.005,0.8,0.12,8e-05,0.5,100,True,0.6021,0.5232,0.5705,2.86
137,0.05,0.005,0.8,0.12,8e-05,0.6,80,False,0.6879,0.6079,0.6559,2.29
138,0.05,0.005,0.8,0.12,8e-05,0.6,80,True,0.4782,0.4460,0.4653,2.29
139,0.05,0.005,0.8,0.12,8e-05,0.6,100,False,0.5960,0.5697,0.5855,2.86
140,0.05,0.005,0.8,0.12,8e-05,0.6,100,True,0.5871,0.5278,0.5634,2.87
141,0.05,0.005,0.8,0.12,8e-05,0.7,80,False,0.6200,0.5456,0.5903,2.29
142,0.05,0.005,0.8,0.12,8e-05,0.7,80,True,0.5309,0.4842,0.5122,2.29
143,0.05,0.005,0.8,0.12,8e-05,0.7,100,False,0.4872,0.4432,0.4696,2.86
144,0.05,0.005,0.8,0.12,8e-05,0.7,100,True,0.5817,0.4997,0.5489,2.87
