task_id,config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
3,7501,0.04,0.006,0.8,0.08,8e-05,0.4,250,False,0.6686,0.6246,0.6510,7.45
3,7502,0.04,0.006,0.8,0.08,8e-05,0.4,250,True,0.6472,0.5641,0.6140,5.70
3,7503,0.04,0.006,0.8,0.08,8e-05,0.45,250,False,0.6391,0.5981,0.6227,7.11
3,7504,0.04,0.006,0.8,0.08,8e-05,0.45,250,True,0.6163,0.5574,0.5927,5.70
3,7505,0.04,0.006,0.8,0.08,8e-05,0.5,250,False,0.5658,0.5555,0.5617,7.11
3,7506,0.04,0.006,0.8,0.08,8e-05,0.5,250,True,0.6606,0.5835,0.6297,7.11
3,7507,0.04,0.006,0.8,0.08,8e-05,0.55,250,False,0.6210,0.5424,0.5896,5.70
3,7508,0.04,0.006,0.8,0.08,8e-05,0.55,250,True,0.5899,0.5248,0.5639,7.11
3,7509,0.04,0.006,0.8,0.08,8e-05,0.6,250,False,0.6280,0.5444,0.5946,7.11
3,7510,0.04,0.006,0.8,0.08,8e-05,0.6,250,True,0.6324,0.5165,0.5860,7.11
3,7511,0.04,0.006,0.8,0.08,9e-05,0.4,250,False,0.6884,0.6568,0.6757,5.70
3,7512,0.04,0.006,0.8,0.08,9e-05,0.4,250,True,0.6244,0.6180,0.6219,7.12
3,7513,0.04,0.006,0.8,0.08,9e-05,0.45,250,False,0.6291,0.5261,0.5879,5.70
3,7514,0.04,0.006,0.8,0.08,9e-05,0.45,250,True,0.6686,0.5831,0.6344,6.84
3,7515,0.04,0.006,0.8,0.08,9e-05,0.5,250,False,0.6106,0.5381,0.5816,7.11
3,7516,0.04,0.006,0.8,0.08,9e-05,0.5,250,True,0.3420,0.4707,0.3935,6.84
3,7517,0.04,0.006,0.8,0.08,9e-05,0.55,250,False,0.6166,0.6089,0.6135,7.12
3,7518,0.04,0.006,0.8,0.08,9e-05,0.55,250,True,0.6878,0.6094,0.6565,6.84
3,7519,0.04,0.006,0.8,0.08,9e-05,0.6,250,False,0.5759,0.5123,0.5505,7.12
3,7520,0.04,0.006,0.8,0.08,9e-05,0.6,250,True,0.6385,0.5986,0.6225,7.12
3,7521,0.04,0.006,0.8,0.08,0.0001,0.4,250,False,0.5372,0.4972,0.5212,6.28
3,7522,0.04,0.006,0.8,0.08,0.0001,0.4,250,True,0.6137,0.5258,0.5786,7.12
3,7523,0.04,0.006,0.8,0.08,0.0001,0.45,250,False,0.5847,0.5401,0.5669,7.12
3,7524,0.04,0.006,0.8,0.08,0.0001,0.45,250,True,0.6271,0.6041,0.6179,5.71
3,7525,0.04,0.006,0.8,0.08,0.0001,0.5,250,False,0.5844,0.5310,0.5631,6.28
3,7526,0.04,0.006,0.8,0.08,0.0001,0.5,250,True,0.4470,0.4812,0.4607,7.13
3,7527,0.04,0.006,0.8,0.08,0.0001,0.55,250,False,0.6422,0.5144,0.5911,7.13
3,7528,0.04,0.006,0.8,0.08,0.0001,0.55,250,True,0.5760,0.5195,0.5534,7.13
3,7529,0.04,0.006,0.8,0.08,0.0001,0.6,250,False,0.7287,0.5995,0.6770,5.71
3,7530,0.04,0.006,0.8,0.08,0.0001,0.6,250,True,0.5936,0.5379,0.5713,7.13
3,7531,0.04,0.006,0.8,0.08,0.00011,0.4,250,False,0.6392,0.5793,0.6153,7.13
3,7532,0.04,0.006,0.8,0.08,0.00011,0.4,250,True,0.6053,0.5895,0.5990,7.13
3,7533,0.04,0.006,0.8,0.08,0.00011,0.45,250,False,0.6032,0.6077,0.6050,7.13
3,7534,0.04,0.006,0.8,0.08,0.00011,0.45,250,True,0.6316,0.5986,0.6184,6.85
3,7535,0.04,0.006,0.8,0.08,0.00011,0.5,250,False,0.6354,0.5860,0.6156,7.13
3,7536,0.04,0.006,0.8,0.08,0.00011,0.5,250,True,0.6284,0.6106,0.6213,7.13
3,7537,0.04,0.006,0.8,0.08,0.00011,0.55,250,False,0.6873,0.5987,0.6518,6.28
3,7538,0.04,0.006,0.8,0.08,0.00011,0.55,250,True,0.5847,0.5222,0.5597,7.13
3,7539,0.04,0.006,0.8,0.08,0.00011,0.6,250,False,0.6390,0.5950,0.6214,7.13
3,7540,0.04,0.006,0.8,0.08,0.00011,0.6,250,True,0.5261,0.5411,0.5321,7.13
3,7541,0.04,0.006,0.8,0.08,0.00012,0.4,250,False,0.6521,0.5830,0.6244,7.13
3,7542,0.04,0.006,0.8,0.08,0.00012,0.4,250,True,0.5740,0.4728,0.5335,7.13
3,7543,0.04,0.006,0.8,0.08,0.00012,0.45,250,False,0.5348,0.5359,0.5353,6.28
3,7544,0.04,0.006,0.8,0.08,0.00012,0.45,250,True,0.7253,0.6826,0.7082,5.71
3,7545,0.04,0.006,0.8,0.08,0.00012,0.5,250,False,0.6039,0.5582,0.5856,7.13
3,7546,0.04,0.006,0.8,0.08,0.00012,0.5,250,True,0.6626,0.5598,0.6214,7.13
3,7547,0.04,0.006,0.8,0.08,0.00012,0.55,250,False,0.6474,0.5874,0.6234,6.85
3,7548,0.04,0.006,0.8,0.08,0.00012,0.55,250,True,0.5821,0.5261,0.5597,7.13
3,7549,0.04,0.006,0.8,0.08,0.00012,0.6,250,False,0.6107,0.5516,0.5870,7.13
3,7550,0.04,0.006,0.8,0.08,0.00012,0.6,250,True,0.5914,0.5269,0.5656,7.13
3,7551,0.04,0.006,0.8,0.1,8e-05,0.4,250,False,0.6661,0.5449,0.6176,7.13
3,7552,0.04,0.006,0.8,0.1,8e-05,0.4,250,True,0.5936,0.5172,0.5630,7.13
3,7553,0.04,0.006,0.8,0.1,8e-05,0.45,250,False,0.6690,0.5701,0.6295,6.85
3,7554,0.04,0.006,0.8,0.1,8e-05,0.45,250,True,0.6106,0.5332,0.5796,7.13
3,7555,0.04,0.006,0.8,0.1,8e-05,0.5,250,False,0.6644,0.5828,0.6317,5.71
3,7556,0.04,0.006,0.8,0.1,8e-05,0.5,250,True,0.6027,0.5554,0.5838,7.13
3,7557,0.04,0.006,0.8,0.1,8e-05,0.55,250,False,0.6145,0.5599,0.5927,7.13
3,7558,0.04,0.006,0.8,0.1,8e-05,0.55,250,True,0.6738,0.5784,0.6356,6.28
3,7559,0.04,0.006,0.8,0.1,8e-05,0.6,250,False,0.6261,0.5635,0.6011,7.13
3,7560,0.04,0.006,0.8,0.1,8e-05,0.6,250,True,0.5975,0.5624,0.5835,7.13
3,7561,0.04,0.006,0.8,0.1,9e-05,0.4,250,False,0.5912,0.5013,0.5552,7.13
3,7562,0.04,0.006,0.8,0.1,9e-05,0.4,250,True,0.5422,0.5109,0.5297,7.13
3,7563,0.04,0.006,0.8,0.1,9e-05,0.45,250,False,0.6034,0.5765,0.5926,7.13
3,7564,0.04,0.006,0.8,0.1,9e-05,0.45,250,True,0.3713,0.4736,0.4123,7.13
3,7565,0.04,0.006,0.8,0.1,9e-05,0.5,250,False,0.5388,0.5207,0.5316,7.13
3,7566,0.04,0.006,0.8,0.1,9e-05,0.5,250,True,0.6637,0.6366,0.6529,6.29
3,7567,0.04,0.006,0.8,0.1,9e-05,0.55,250,False,0.4921,0.5597,0.5192,7.13
3,7568,0.04,0.006,0.8,0.1,9e-05,0.55,250,True,0.6713,0.5881,0.6380,7.13
3,7569,0.04,0.006,0.8,0.1,9e-05,0.6,250,False,0.5177,0.4966,0.5093,7.13
3,7570,0.04,0.006,0.8,0.1,9e-05,0.6,250,True,0.6624,0.5970,0.6362,7.13
3,7571,0.04,0.006,0.8,0.1,0.0001,0.4,250,False,0.6266,0.5780,0.6072,7.13
3,7572,0.04,0.006,0.8,0.1,0.0001,0.4,250,True,0.6461,0.5734,0.6170,6.28
3,7573,0.04,0.006,0.8,0.1,0.0001,0.45,250,False,0.7036,0.6277,0.6733,6.28
3,7574,0.04,0.006,0.8,0.1,0.0001,0.45,250,True,0.6001,0.5438,0.5776,6.28
3,7575,0.04,0.006,0.8,0.1,0.0001,0.5,250,False,0.7177,0.6141,0.6763,6.85
3,7576,0.04,0.006,0.8,0.1,0.0001,0.5,250,True,0.7378,0.6328,0.6958,6.85
3,7577,0.04,0.006,0.8,0.1,0.0001,0.55,250,False,0.5178,0.5421,0.5275,7.13
3,7578,0.04,0.006,0.8,0.1,0.0001,0.55,250,True,0.5532,0.5294,0.5437,6.28
3,7579,0.04,0.006,0.8,0.1,0.0001,0.6,250,False,0.5804,0.5601,0.5723,7.13
3,7580,0.04,0.006,0.8,0.1,0.0001,0.6,250,True,0.6642,0.5766,0.6291,5.72
3,7581,0.04,0.006,0.8,0.1,0.00011,0.4,250,False,0.4700,0.5445,0.4998,6.86
3,7582,0.04,0.006,0.8,0.1,0.00011,0.4,250,True,0.5553,0.4801,0.5253,7.13
3,7583,0.04,0.006,0.8,0.1,0.00011,0.45,250,False,0.4179,0.4639,0.4363,6.28
3,7584,0.04,0.006,0.8,0.1,0.00011,0.45,250,True,0.5294,0.4519,0.4984,7.13
3,7585,0.04,0.006,0.8,0.1,0.00011,0.5,250,False,0.6211,0.5531,0.5939,7.13
3,7586,0.04,0.006,0.8,0.1,0.00011,0.5,250,True,0.6160,0.5920,0.6064,5.72
3,7587,0.04,0.006,0.8,0.1,0.00011,0.55,250,False,0.6334,0.5447,0.5979,7.13
3,7588,0.04,0.006,0.8,0.1,0.00011,0.55,250,True,0.6323,0.5500,0.5994,7.13
3,7589,0.04,0.006,0.8,0.1,0.00011,0.6,250,False,0.5632,0.4838,0.5314,7.13
3,7590,0.04,0.006,0.8,0.1,0.00011,0.6,250,True,0.7053,0.6293,0.6749,6.29
3,7591,0.04,0.006,0.8,0.1,0.00012,0.4,250,False,0.6333,0.5597,0.6039,6.28
3,7592,0.04,0.006,0.8,0.1,0.00012,0.4,250,True,0.6111,0.5889,0.6022,6.29
3,7593,0.04,0.006,0.8,0.1,0.00012,0.45,250,False,0.6139,0.5766,0.5990,7.13
3,7594,0.04,0.006,0.8,0.1,0.00012,0.45,250,True,0.7343,0.6088,0.6841,5.71
3,7595,0.04,0.006,0.8,0.1,0.00012,0.5,250,False,0.5730,0.5124,0.5488,5.71
3,7596,0.04,0.006,0.8,0.1,0.00012,0.5,250,True,0.5553,0.5075,0.5362,5.71
3,7597,0.04,0.006,0.8,0.1,0.00012,0.55,250,False,0.5671,0.5194,0.5481,6.85
3,7598,0.04,0.006,0.8,0.1,0.00012,0.55,250,True,0.5762,0.5469,0.5645,6.29
3,7599,0.04,0.006,0.8,0.1,0.00012,0.6,250,False,0.5719,0.5362,0.5576,6.29
3,7600,0.04,0.006,0.8,0.1,0.00012,0.6,250,True,0.6123,0.5920,0.6042,5.71
3,7601,0.04,0.006,0.8,0.12,8e-05,0.4,250,False,0.6305,0.5920,0.6151,7.13
3,7602,0.04,0.006,0.8,0.12,8e-05,0.4,250,True,0.6034,0.5688,0.5895,5.71
3,7603,0.04,0.006,0.8,0.12,8e-05,0.45,250,False,0.5905,0.5780,0.5855,6.29
3,7604,0.04,0.006,0.8,0.12,8e-05,0.45,250,True,0.6579,0.6155,0.6409,7.13
3,7605,0.04,0.006,0.8,0.12,8e-05,0.5,250,False,0.5757,0.4930,0.5426,7.13
3,7606,0.04,0.006,0.8,0.12,8e-05,0.5,250,True,0.3736,0.4657,0.4104,5.71
3,7607,0.04,0.006,0.8,0.12,8e-05,0.55,250,False,0.6107,0.5791,0.5981,7.13
3,7608,0.04,0.006,0.8,0.12,8e-05,0.55,250,True,0.5166,0.5328,0.5231,7.14
3,7609,0.04,0.006,0.8,0.12,8e-05,0.6,250,False,0.6334,0.5930,0.6173,7.13
3,7610,0.04,0.006,0.8,0.12,8e-05,0.6,250,True,0.4687,0.5206,0.4895,5.71
3,7611,0.04,0.006,0.8,0.12,9e-05,0.4,250,False,0.6663,0.5668,0.6265,5.71
3,7612,0.04,0.006,0.8,0.12,9e-05,0.4,250,True,0.6337,0.5759,0.6106,6.85
3,7613,0.04,0.006,0.8,0.12,9e-05,0.45,250,False,0.6768,0.6302,0.6582,7.13
3,7614,0.04,0.006,0.8,0.12,9e-05,0.45,250,True,0.6475,0.6433,0.6458,6.28
3,7615,0.04,0.006,0.8,0.12,9e-05,0.5,250,False,0.6639,0.5983,0.6377,5.72
3,7616,0.04,0.006,0.8,0.12,9e-05,0.5,250,True,0.6816,0.5774,0.6399,5.72
3,7617,0.04,0.006,0.8,0.12,9e-05,0.55,250,False,0.6100,0.5501,0.5861,7.13
3,7618,0.04,0.006,0.8,0.12,9e-05,0.55,250,True,0.5785,0.5539,0.5686,7.13
3,7619,0.04,0.006,0.8,0.12,9e-05,0.6,250,False,0.5567,0.4995,0.5338,6.29
3,7620,0.04,0.006,0.8,0.12,9e-05,0.6,250,True,0.6222,0.5827,0.6064,7.13
3,7621,0.04,0.006,0.8,0.12,0.0001,0.4,250,False,0.6102,0.5267,0.5768,6.86
3,7622,0.04,0.006,0.8,0.12,0.0001,0.4,250,True,0.6609,0.6179,0.6437,7.13
3,7623,0.04,0.006,0.8,0.12,0.0001,0.45,250,False,0.5336,0.5364,0.5347,5.71
3,7624,0.04,0.006,0.8,0.12,0.0001,0.45,250,True,0.5186,0.4957,0.5094,5.15
3,7625,0.04,0.006,0.8,0.12,0.0001,0.5,250,False,0.3839,0.5243,0.4401,7.13
3,7626,0.04,0.006,0.8,0.12,0.0001,0.5,250,True,0.5201,0.5146,0.5179,6.29
3,7627,0.04,0.006,0.8,0.12,0.0001,0.55,250,False,0.5297,0.4914,0.5144,6.28
3,7628,0.04,0.006,0.8,0.12,0.0001,0.55,250,True,0.6469,0.6187,0.6356,6.86
3,7629,0.04,0.006,0.8,0.12,0.0001,0.6,250,False,0.6413,0.5849,0.6187,7.13
3,7630,0.04,0.006,0.8,0.12,0.0001,0.6,250,True,0.5079,0.5240,0.5143,5.71
3,7631,0.04,0.006,0.8,0.12,0.00011,0.4,250,False,0.6143,0.5706,0.5968,7.13
3,7632,0.04,0.006,0.8,0.12,0.00011,0.4,250,True,0.5640,0.5844,0.5722,5.72
3,7633,0.04,0.006,0.8,0.12,0.00011,0.45,250,False,0.6501,0.5878,0.6252,5.72
3,7634,0.04,0.006,0.8,0.12,0.00011,0.45,250,True,0.6163,0.5706,0.5980,7.13
3,7635,0.04,0.006,0.8,0.12,0.00011,0.5,250,False,0.4877,0.4970,0.4914,7.13
3,7636,0.04,0.006,0.8,0.12,0.00011,0.5,250,True,0.6631,0.6080,0.6410,6.86
3,7637,0.04,0.006,0.8,0.12,0.00011,0.55,250,False,0.5996,0.5856,0.5940,6.29
3,7638,0.04,0.006,0.8,0.12,0.00011,0.55,250,True,0.5737,0.5081,0.5474,7.13
3,7639,0.04,0.006,0.8,0.12,0.00011,0.6,250,False,0.6506,0.5877,0.6254,7.13
3,7640,0.04,0.006,0.8,0.12,0.00011,0.6,250,True,0.6676,0.5835,0.6339,6.29
3,7641,0.04,0.006,0.8,0.12,0.00012,0.4,250,False,0.6652,0.6039,0.6407,7.13
3,7642,0.04,0.006,0.8,0.12,0.00012,0.4,250,True,0.5023,0.5059,0.5038,5.72
